央视,#genre#
深圳卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226409/2/index.m3u8?fmt=ts2hls$江西移动
四川卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226424/2/index.m3u8?fmt=ts2hls$江西移动
东方卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226429/2/index.m3u8?fmt=ts2hls$江西移动
CCTV16,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226236/index.m3u8?fmt=ts2hls$江西移动
北京卫视,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8?fmt=ts2hls$江西移动
湖南卫视,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8?fmt=ts2hls$江西移动
江苏卫视,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226401/index.m3u8?fmt=ts2hls$江西移动
浙江卫视,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226404/index.m3u8?fmt=ts2hls$江西移动
广东卫视,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226405/index.m3u8?fmt=ts2hls$江西移动
山东卫视,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226407/index.m3u8?fmt=ts2hls$江西移动
深圳卫视,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8?fmt=ts2hls$江西移动
四川卫视,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8?fmt=ts2hls$江西移动
东方卫视,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226429/index.m3u8?fmt=ts2hls$江西移动
CCTV16,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226236/index.m3u8?fmt=ts2hls$江西移动
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8$江西移动
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226394/index.m3u8$江西移动
CCTV16,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226236/01.m3u8?fmt=ts2hls$江西移动
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/01.m3u8$江西移动
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226386/01.m3u8?fmt=ts2hls$江西移动
